Score,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
Community code,c_56,c_43,c_57,c_18,c_50,c_31,c_15,c_28,c_29,c_36,c_05,c_22,c_30,c_20,c_13,c_02,c_44,c_32,c_38,c_41,c_47,c_01,c_53,c_04,c_14,c_40,c_03,c_49,c_19,c_09,c_25,c_23,c_34,c_37,c_55,c_16,c_45,c_52,c_54,c_08,c_07,c_42,c_46,c_48,c_06,c_11,c_10,c_39,c_51,c_17,c_21,c_33,c_35,c_12,c_24,c_26,c_27
T0 Flood,49,45,51,42,43,48,44,51,47,48,44,42,44,35,41,43,41,48,46,48,37,35,44,42,36,34,61,38,41,34,54,55,38,36,51,44,60,50,60,46,61,54,57,59,61,44,45,57,60,44,38,41,43,42,41,43,42
T0 Heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,38,45,42,43,35,29,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0 Generic,48,46,52,42,43,50,42,48,48,44,44,46,43,38,46,44,39,48,48,50,42,33,48,44,39,30,57,38,47,36,52,53,39,39,52,44,60,52,58,47,56,56,55,56,60,47,47,57,58,47,42,46,47,44,47,47,43
